Timestamp,mean_temp_cor,year,month,day,timestep
2001-06-20,15.90000057220459,2001,6,20,170
2001-06-21,16.600000381469727,2001,6,21,171
2001-06-22,14.90000057220459,2001,6,22,172
2001-06-23,16.700000762939453,2001,6,23,173
2001-06-24,16.200000762939453,2001,6,24,174
2001-06-25,17.899999618530273,2001,6,25,175
2001-06-26,17.5,2001,6,26,176
2001-06-27,17.80000114440918,2001,6,27,177
2001-06-28,19.100000381469727,2001,6,28,178
2001-06-29,20.80000114440918,2001,6,29,179
2001-06-30,21.0,2001,6,30,180
2001-07-01,21.5,2001,7,1,181
2001-07-02,17.200000762939453,2001,7,2,182
2001-07-03,18.200000762939453,2001,7,3,183
2001-07-04,19.399999618530273,2001,7,4,184
2001-07-05,22.5,2001,7,5,185
2001-07-06,23.80000114440918,2001,7,6,186
2001-07-07,24.0,2001,7,7,187
2001-07-08,24.100000381469727,2001,7,8,188
2001-07-09,23.600000381469727,2001,7,9,189
2001-07-10,19.700000762939453,2001,7,10,190
2001-07-11,20.399999618530273,2001,7,11,191
2001-07-12,18.600000381469727,2001,7,12,192
2001-07-13,18.399999618530273,2001,7,13,193
2001-07-14,17.899999618530273,2001,7,14,194
2001-07-15,23.600000381469727,2001,7,15,195
2001-07-16,23.100000381469727,2001,7,16,196
2001-07-17,22.600000381469727,2001,7,17,197
2001-07-18,21.80000114440918,2001,7,18,198
2001-07-19,20.30000114440918,2001,7,19,199
2001-07-20,20.30000114440918,2001,7,20,200
2001-07-21,22.200000762939453,2001,7,21,201
2001-07-22,20.399999618530273,2001,7,22,202
2001-07-23,20.30000114440918,2001,7,23,203
2001-07-24,22.899999618530273,2001,7,24,204
2001-07-25,23.100000381469727,2001,7,25,205
2001-07-26,22.899999618530273,2001,7,26,206
2001-07-27,22.600000381469727,2001,7,27,207
2001-07-28,22.600000381469727,2001,7,28,208
2001-07-29,22.600000381469727,2001,7,29,209
2001-07-30,21.200000762939453,2001,7,30,210
2001-07-31,19.0,2001,7,31,211
2001-08-01,16.5,2001,8,1,212
2001-08-02,16.30000114440918,2001,8,2,213
2001-08-03,16.100000381469727,2001,8,3,214
2001-08-04,17.80000114440918,2001,8,4,215
2001-08-05,19.100000381469727,2001,8,5,216
2001-08-06,16.100000381469727,2001,8,6,217
2001-08-07,17.200000762939453,2001,8,7,218
2001-08-08,18.80000114440918,2001,8,8,219
2001-08-09,20.0,2001,8,9,220
2001-08-10,18.0,2001,8,10,221
2001-08-11,16.80000114440918,2001,8,11,222
2001-08-12,15.5,2001,8,12,223
2001-08-13,15.5,2001,8,13,224
2001-08-14,17.100000381469727,2001,8,14,225
